#{"t_start": 1614890034.0310314, "env_id": null}
r,l,t
-2.986084,7,19953.430695
-2.955526,7,19991.824525
-2.951689,7,20033.049008
-2.983249,7,20074.536504
-2.749079,7,20113.355753
-3.489096,9,20162.226611
-2.713985,8,20205.407849
-2.755664,7,20243.626649
-2.88589,7,20282.907633
-3.329506,7,20322.499334
-3.297535,7,20360.021966
-2.890318,7,20399.237327
-2.703754,7,20437.653594
-2.745679,7,20476.764871
-2.752054,7,20515.150306
-2.744237,7,20555.098234
-2.733138,7,20595.806194
-2.739797,7,20643.792843
-2.718962,7,20682.747363
-2.958652,7,20722.111336
-3.783892,8,20764.710747
-4.258291,9,20814.485662
-2.731193,7,20853.651597
-2.74971,7,20893.752662
-2.710168,7,20932.461593
-2.719657,7,20971.238709
-2.713983,7,21013.165889
-2.68977,7,21050.618125
-2.701731,7,21091.144802
-2.726805,7,21130.764344
-2.723256,7,21173.030451
-2.714805,7,21217.135553
-2.705716,7,21261.16316
-2.722051,7,21300.200707
-2.729674,7,21339.787077
-2.842827,7,21378.910607
-3.261792,7,21417.348151
-2.710056,7,21456.812469
-2.74022,7,21496.513587
-2.721211,7,21536.420807
-2.712962,7,21574.6387
-2.722051,7,21613.412468
-2.746789,7,21654.203335
-2.810442,7,21693.507671
-3.329326,7,21732.832137
-3.344503,7,21772.09367
-3.229373,7,21812.583575
-3.294336,7,21856.480255
-3.316052,7,21896.183262
-3.345024,7,21936.389634
-3.336096,7,21975.999481
-3.328735,7,22016.53392
-3.322744,7,22056.101015
-3.331551,7,22093.830978
-2.711878,7,22133.022749
-2.730881,7,22172.534112
-2.726959,7,22210.326007
-2.708717,7,22249.515754
-2.747806,7,22290.473299
-2.705104,7,22332.996003
-2.714198,7,22374.297129
-2.723089,7,22413.075158
-2.691305,7,22459.901842
-2.742451,7,22500.168112
-2.893301,7,22540.266416
-3.325644,7,22579.711207
-3.316048,7,22619.028477
-3.338502,7,22658.317571
-3.354285,7,22697.405051
-3.665545,8,22740.837625
-3.334291,7,22782.333999
-3.329949,7,22821.978989
-3.199744,7,22860.130399
-2.70802,7,22899.545688
-2.725622,7,22941.118459
-2.703474,7,22980.017981
-2.729232,7,23018.595954
-2.726201,7,23062.090055
-2.728037,7,23103.214858
-2.810818,8,23147.590584
-2.98216,7,23186.46844
-3.347588,7,23225.894667
-3.314663,7,23265.431287
-3.305572,7,23304.309779
-3.331294,7,23342.347939
-3.327426,7,23381.427411
-3.463209,9,23434.031544
-2.739769,7,23473.751649
-2.750284,7,23511.88762
-3.294352,7,23553.109602
-3.346695,7,23593.132983
-3.761148,8,23639.901378
-3.331539,7,23684.455974
-3.342969,7,23724.190048
-3.823006,8,23771.693781
-3.2534,7,23811.652792
-2.699144,7,23850.311371
-2.703716,7,23887.411756
-3.152999,8,23930.637074
-2.733564,7,23968.781268
-2.729284,7,24007.764711
-2.753586,7,24047.334803
-2.744224,7,24087.461079
-2.75094,7,24130.322607
-3.348473,7,24171.370496
-3.357151,7,24216.980378
-3.346133,7,24262.891536
-3.331656,7,24300.348238
-3.333638,7,24339.733836
-3.796376,8,24385.244734
-3.35086,7,24425.292581
-3.337296,7,24464.332286
-3.967184,9,24515.405615
-3.096761,7,24555.680113
-2.713074,7,24595.176377
-2.696827,7,24634.289116
-2.709775,7,24674.027501
-2.705383,7,24715.590084
-3.09868,8,24762.357198
-2.579455,7,24803.006819
-2.727313,7,24844.384722
-2.734472,7,24889.323229
-4.750187,10,24944.53399
-3.325986,7,24985.414835
-3.338606,7,25025.177871
-3.162466,7,25065.714134
-2.851759,7,25106.713049
-2.83316,7,25147.94468
-2.795194,7,25186.471291
-2.807812,7,25225.999029
-2.815864,7,25266.850008
-2.799874,7,25306.494824
-2.836915,7,25347.549587
-2.941755,7,25388.865991
-2.712761,7,25431.246066
-2.71572,7,25479.948096
-2.703911,7,25517.337972
-2.70844,7,25556.051013
-2.730054,7,25595.888058
-2.869344,7,25634.738144
-2.739249,7,25673.34733
-2.746604,7,25712.634534
-2.725264,7,25750.784871
-2.702281,7,25790.048524
-2.723764,7,25828.298242
-2.729199,7,25867.743271
-2.721952,7,25905.556924
-2.72595,7,25946.358754
-2.724943,7,25985.612187
-2.744488,7,26025.534454
-2.740422,7,26069.025125
-2.748526,7,26110.082653
-2.751615,7,26150.168455
-3.532846,9,26200.119414
-2.719116,7,26239.102332
-2.750276,7,26277.616282
-2.750131,7,26315.701282
-2.931412,7,26355.793345
-2.720781,7,26396.23779
-2.727676,7,26434.625204
-2.73099,7,26474.60487
-2.744178,7,26515.09372
-1.819891,5,26544.057102
-1.814981,5,26571.611221
-1.806349,5,26600.589971
-1.561008,5,26630.858324
-3.089147,7,26673.142428
-2.736418,7,26715.991922
-2.741673,7,26754.506764
-2.728115,7,26792.19919
-2.733513,7,26831.790179
-2.732337,7,26870.361322
-2.714393,7,26908.258155
-2.715853,7,26947.207531
-2.732337,7,26986.812157
-2.746199,7,27025.774138
-2.753586,7,27065.982755
-2.730372,7,27104.654773
-3.226587,7,27143.885508
-2.744636,7,27182.609491
-2.758667,7,27221.635084
-2.950312,7,27261.896961
-2.805592,7,27308.991264
