{'time':'2021-02-18 16:10:31,489','message': {'state':'[[   0  100  200   77  564 1135]]', 'action': '18', 'next_state': '[[   0  100  200   77  620 1248]]', 'reward': '-0.4323248407643312'}}
{'time':'2021-02-18 16:10:36,743','message': {'state':'[[   0  100  200   77  620 1248]]', 'action': '18', 'next_state': '[[   0  100  200   77  682 1372]]', 'reward': '-0.4384057971014492'}}
{'time':'2021-02-18 16:10:41,978','message': {'state':'[[   0  100  200   77  682 1372]]', 'action': '1', 'next_state': '[[   0  100  200   77  852 1715]]', 'reward': '-0.4490150637311703'}}
{'time':'2021-02-18 16:10:48,131','message': {'state':'[[   0  100  200   77  852 1715]]', 'action': '18', 'next_state': '[[   0  100  200   77  937 1886]]', 'reward': '-0.45310853530031614'}}
{'time':'2021-02-18 16:10:53,306','message': {'state':'[[   0  100  200   77  937 1886]]', 'action': '18', 'next_state': '[[   0  100  200   77 1030 2074]]', 'reward': '-0.4564176245210728'}}
{'time':'2021-02-18 16:10:58,750','message': {'state':'[[   0  100  200   77 1030 2074]]', 'action': '18', 'next_state': '[[   0  100  200   77 1133 2281]]', 'reward': '-0.45993031358885017'}}
{'time':'2021-02-18 16:11:04,191','message': {'state':'[[   0  100  200   77 1133 2281]]', 'action': '18', 'next_state': '[[   0  100  200   77 1246 2509]]', 'reward': '-0.46278701504354713'}}
{'time':'2021-02-18 16:11:04,191','message': {'episode': '1/1000', 'score': '24', 'e': '0.095'}}
{'time':'2021-02-18 16:11:04,191','message': {'Steps': '24', 'Episode': '1', 'Total Reward': '-8.507911179553094'}}
{'time':'2021-02-18 16:11:27,225','message': {'state':'[[  0 100 200  77 100 200]]', 'action': '18', 'next_state': '[[  0 100 200  77 110 220]]', 'reward': '-0.15000000000000002'}}
{'time':'2021-02-18 16:11:32,401','message': {'state':'[[  0 100 200  77 110 220]]', 'action': '18', 'next_state': '[[  0 100 200  77 121 242]]', 'reward': '-0.18181818181818182'}}
{'time':'2021-02-18 16:11:37,603','message': {'state':'[[  0 100 200  77 121 242]]', 'action': '18', 'next_state': '[[  2 100 200  77 133 266]]', 'reward': '-0.20052631578947366'}}
{'time':'2021-02-18 16:11:43,141','message': {'state':'[[  2 100 200  77 133 266]]', 'action': '18', 'next_state': '[[  2 100 200  77 146 292]]', 'reward': '-0.2263013698630137'}}
{'time':'2021-02-18 16:11:49,129','message': {'state':'[[  2 100 200  77 146 292]]', 'action': '18', 'next_state': '[[  2 100 200  77 160 321]]', 'reward': '-0.24776397515527948'}}
{'time':'2021-02-18 16:11:54,941','message': {'state':'[[  2 100 200  77 160 321]]', 'action': '18', 'next_state': '[[  2 100 200  77 176 353]]', 'reward': '-0.26966101694915257'}}
{'time':'2021-02-18 16:12:00,281','message': {'state':'[[  2 100 200  77 176 353]]', 'action': '18', 'next_state': '[[  1 100 200  77 193 388]]', 'reward': '-0.2924358974358975'}}
{'time':'2021-02-18 16:12:05,475','message': {'state':'[[  1 100 200  77 193 388]]', 'action': '18', 'next_state': '[[  1 100 200  77 212 426]]', 'reward': '-0.31042056074766355'}}
{'time':'2021-02-18 16:12:11,165','message': {'state':'[[  1 100 200  77 212 426]]', 'action': '18', 'next_state': '[[  2 100 200  77 233 468]]', 'reward': '-0.3219148936170213'}}
{'time':'2021-02-18 16:12:16,317','message': {'state':'[[  2 100 200  77 233 468]]', 'action': '46', 'next_state': '[[  1 150 300  77 233 468]]', 'reward': '-0.328581560283688'}}
{'time':'2021-02-18 16:12:21,502','message': {'state':'[[  1 150 300  77 233 468]]', 'action': '18', 'next_state': '[[  2 150 300  77 256 514]]', 'reward': '-0.3402325581395348'}}
